day,conc,count,site,model,const,interval,format
3/7/1994,1.4,1,ID,interp,TSS,daily,conc
3/8/1994,1.4,1,ID,interp,TSS,daily,conc
3/9/1994,1.4,1,ID,interp,TSS,daily,conc
3/10/1994,1.4,1,ID,interp,TSS,daily,conc
3/11/1994,1.4,1,ID,interp,TSS,daily,conc
3/12/1994,1.4,1,ID,interp,TSS,daily,conc
3/13/1994,1.4,1,ID,interp,TSS,daily,conc
3/14/1994,1.4,1,ID,interp,TSS,daily,conc
3/15/1994,1.4,1,ID,interp,TSS,daily,conc
3/16/1994,1.4,1,ID,interp,TSS,daily,conc
3/17/1994,1.4,1,ID,interp,TSS,daily,conc
3/18/1994,1.4,1,ID,interp,TSS,daily,conc
3/19/1994,1.4,1,ID,interp,TSS,daily,conc
3/20/1994,1.4,1,ID,interp,TSS,daily,conc
3/21/1994,1.4,1,ID,interp,TSS,daily,conc
3/22/1994,1.4,1,ID,interp,TSS,daily,conc
3/23/1994,1.4,1,ID,interp,TSS,daily,conc
3/24/1994,1.4,1,ID,interp,TSS,daily,conc
3/25/1994,1.4,1,ID,interp,TSS,daily,conc
3/26/1994,1.4,1,ID,interp,TSS,daily,conc
3/27/1994,1.4,1,ID,interp,TSS,daily,conc
3/28/1994,1.4,1,ID,interp,TSS,daily,conc
3/29/1994,1.4,1,ID,interp,TSS,daily,conc
3/30/1994,1.4,1,ID,interp,TSS,daily,conc
3/31/1994,1.4,1,ID,interp,TSS,daily,conc
4/1/1994,1.4,1,ID,interp,TSS,daily,conc
4/2/1994,1.4,1,ID,interp,TSS,daily,conc
4/3/1994,1.4,1,ID,interp,TSS,daily,conc
4/4/1994,1.4,1,ID,interp,TSS,daily,conc
4/5/1994,1.4,1,ID,interp,TSS,daily,conc
4/6/1994,1.4,1,ID,interp,TSS,daily,conc
4/7/1994,1.4,1,ID,interp,TSS,daily,conc
4/8/1994,1.4,1,ID,interp,TSS,daily,conc
4/9/1994,1.4,1,ID,interp,TSS,daily,conc
4/10/1994,1.4,1,ID,interp,TSS,daily,conc
4/11/1994,1.4,1,ID,interp,TSS,daily,conc
4/12/1994,1.4,1,ID,interp,TSS,daily,conc
4/13/1994,1.4,1,ID,interp,TSS,daily,conc
4/14/1994,1.4,1,ID,interp,TSS,daily,conc
4/15/1994,1.4,1,ID,interp,TSS,daily,conc
4/16/1994,1.4,1,ID,interp,TSS,daily,conc
4/17/1994,1.4,1,ID,interp,TSS,daily,conc
4/18/1994,1.4,1,ID,interp,TSS,daily,conc
4/19/1994,1.4,1,ID,interp,TSS,daily,conc
4/20/1994,1.4,1,ID,interp,TSS,daily,conc
4/21/1994,1.4,1,ID,interp,TSS,daily,conc
4/22/1994,1.4,1,ID,interp,TSS,daily,conc
4/23/1994,1.4,1,ID,interp,TSS,daily,conc
4/24/1994,1.4,1,ID,interp,TSS,daily,conc
4/25/1994,1.4,1,ID,interp,TSS,daily,conc
4/26/1994,1.4,1,ID,interp,TSS,daily,conc
4/27/1994,1.4,1,ID,interp,TSS,daily,conc
4/28/1994,1.4,1,ID,interp,TSS,daily,conc
